Prepared: 03-MAR-2026 13:50 GMT,,,,,,,,,
MSN,Noun,Bulk Issue,Process Name,Local Process Name,Dist %,Max On Hand,Shop Code,Org Symbol,
6850006211819,"LEAK DETECTOR, OXYGEN SYSTEMS",N,"Aircraft/flightline operations, NOC",LEAK DETECTION,100,30,162A-Z01,552 AMXS,
7930PHM00515816,"CLEANER, GLASSWARE AND PLASTICWARE, LABORATORY,",N,Multiple operations,MULTIPLE OPERATIONS,100,125,054H-Z01,72 ABW,
8030PHM00076135,"SEALANT, BRONZE, METAL ROOFING",N,Adhering/bonding/sealing - all usages,USE OF SEALANTS AND ADHESIVES,100,60,999B-Z67,72 ABW/CECOUM,
8030PHM00076135,"SEALANT, BRONZE, METAL ROOFING",N,Adhering/bonding/sealing - all usages,USE OF SEALANTS AND ADHESIVES,100,120,999B-Z33,72 ABW/CECOS,
8010PHM00100994,"LATEX, DESERT FORTRESS, TINTABLE",N,"Coating/painting, multiple operations","Coating/painting, multiple operations",100,9,429B-Z01,CSCW-1,
8040001818380,"ADHESIVE, RTV SILICONE RUBBER, GRAY",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,3,433B-Z01,OC-ALC/MAB,
6810PHM00100663,"ZINC, SULFUR FREE, MINERAL OIL 6%",N,"Laboratory operations, NOC",OIL ANALYSIS,100,3,631A-Z01,LP,
6810PHM00100650,"BORON, SULFUR FREE, MINERAL OIL 3%",N,"Laboratory operations, NOC",OIL ANALYSIS,100,3,631A-Z01,LP,
6810PHM00100664,"SILICONE, SULFUR FREE, MINERAL OIL 18%",N,"Laboratory operations, NOC",OIL ANALYSIS,100,3,631A-Z01,LP,
6810PHM00100672,"TIN, SULFUR FREE, MINERAL OIL 13%",N,"Laboratory operations, NOC",OIL ANALYSIS,100,3,631A-Z01,LP,
6810PHM00100673,"SILVER, SULFUR FREE, MINERAL OIL 1%",N,"Laboratory operations, NOC",OIL ANALYSIS,100,3,631A-Z01,LP,
9150PHM00100653,"LUBRICANT, OIL, CALIBRATION STANDARD, 50",N,"Laboratory operations, NOC",OIL ANALYSIS,100,3,631A-Z01,LP,
6810PHM00100645,"ALUMINUM, SULFUR-FREE, MINERAL OIL 3%",N,"Laboratory operations, NOC",OIL ANALYSIS,100,3,631A-Z01,LP,
9150PHM00025305,"LUBRICANT, OIL, AIR TOOL",N,"Lubricating, multiple operations",LUBRICANT,100,9,051H-Z04,PMXG,
9150PHM00025305,"LUBRICANT, OIL, AIR TOOL",N,"Lubricating, multiple operations",LUBRICANT,100,18,042I-Z03,PMXG,
6810PHM00058425,"CALCIUM CHLORIDE, ANHYDROUS",N,Multiple operations,MISCELLANEOUS,100,40,999B-Z15,72 ABW/CE/HOUSING,
8030PHM00517026,EPON-815 RESIN,N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,433B-Z01,OC-ALC/MAB,
8040001817761,"ADHESIVE, FOAM, ORANGE, AEROSOL",N,"Miscellaneous,  multiple operations","Miscellaneous,  multiple operations",100,125,377A-Z01,PMXG,
8040PHM00001584,"PRIMER, ADHESIVE, PVC PIPE",N,"Plumbing, multiple operations","PLUMBING, MULTIPLE OPERATIONS",100,125,022A-Z09,MXSG,
